,Trial Number,Null Prediction,Num Reaches Prediction,Handedness Prediction,Handedness Prediction Outlier Flag,Segmented Reaches,Segmented Null,Segmented Num,Segmented Hand
0,0,False,,,,[None],1,1,[None]
1,1,False,,,,[71],1,1,['Right']
2,2,False,,,,"[0, 18]",2,2,"['Right', 'Right']"
3,3,False,,,,[0],1,1,['Left']
4,4,False,,,,[0],1,1,['Left']
5,5,False,,,,[19],1,1,['Left']
6,6,False,,,,"[224, 169, 224, 314, 418]",5,5,"['Bimanual', 'Left', 'Left', 'Left', 'Right']"
7,7,False,,,,[139],1,1,['Left']
8,8,False,,,,"[31, 68]",2,2,"['Left', 'Left']"
9,9,False,,,,[None],1,1,[None]
10,10,False,,,,[0],1,1,['Left']
11,11,False,,,,"[0, 54, 115, 189, 229, 440, 472]",7,7,"['Left', 'Left', 'Left', 'Left', 'Left', 'Left', 'Right']"
12,12,False,,,,"[24, 163, 99]",3,3,"['Left', 'Left', 'Right']"
13,13,False,,,,"[0, 252, 411, 83, 147, 303, 357]",7,7,"['Left', 'Left', 'Left', 'Right', 'Right', 'Right', 'Right']"
14,14,False,,,,"[38, 90]",2,2,"['Left', 'Left']"
15,15,False,,,,[None],1,1,[None]
16,16,False,,,,[7],1,1,['Left']
17,17,False,,,,[15],1,1,['Left']
18,18,False,,,,"[62, 114]",2,2,"['Left', 'Left']"
19,19,False,,,,"[371, 402, 443, 520]",4,4,"['Left', 'Left', 'Left', 'Left']"
20,20,False,,,,[0],1,1,['Right']
21,21,False,,,,"[9, 78, 136, 174]",4,4,"['Left', 'Left', 'Left', 'Right']"
22,22,False,,,,"[0, 70, 119, 152, 173]",5,5,"['Left', 'Left', 'Left', 'Right', 'Right']"
23,23,False,,,,[None],1,1,[None]
24,24,False,,,,[36],1,1,['Left']
25,25,False,,,,[0],1,1,['Left']
26,26,False,,,,[11],1,1,['Left']
27,27,False,,,,[None],1,1,[None]
28,28,False,,,,"[0, 0, 110, 0, 66, 233, 280]",7,7,"['Bimanual', 'Left', 'Left', 'Right', 'Right', 'Right', 'Right']"
29,29,False,,,,[45],1,1,['Right']
30,30,False,,,,[None],1,1,[None]
31,31,False,,,,"[38, 122, 217]",3,3,"['Left', 'Left', 'Left']"
32,32,False,,,,"[79, 193, 145, 248, 385]",5,5,"['Left', 'Left', 'Right', 'Right', 'Right']"
33,33,False,,,,"[30, 74, 156, 196]",4,4,"['Right', 'Right', 'Right', 'Right']"
34,34,False,,,,"[20, 80]",2,2,"['Left', 'Left']"
35,35,False,,,,"[0, 87, 136, 208]",4,4,"['Left', 'Left', 'Left', 'Left']"
36,36,False,,,,[27],1,1,['Left']
37,37,False,,,,[434],1,1,['Right']
38,38,False,,,,[20],1,1,['Left']
39,39,False,,,,"[14, 233, 303, 341]",4,4,"['Left', 'Left', 'Left', 'Left']"
40,40,False,,,,"[34, 243]",2,2,"['Left', 'Right']"
41,41,False,,,,[16],1,1,['Left']
42,42,False,,,,"[9, 115]",2,2,"['Left', 'Right']"
43,43,False,,,,[None],1,1,[None]
44,44,False,,,,[None],1,1,[None]
45,45,False,,,,[None],1,1,[None]
46,46,False,,,,[28],1,1,['Left']
47,47,False,,,,"[51, 153, 325, 14, 403]",5,5,"['Left', 'Left', 'Left', 'Right', 'Right']"
48,48,False,,,,[12],1,1,['Left']
49,49,False,,,,"[87, 188]",2,2,"['Left', 'Left']"
